Year,Barcelona,Girona,Lleida,Tarragona,Catalonia,Spain,% Cat./Spa.
2021,5702262,784941,439258,823435,7749896,47400798,16.3
2020,5702583,777339,437263,815589,7732756,47318050,16.3
2019,5628011,765775,432643,803471,7629889,46918951,16.3
2018,5572766,756137,429832,794997,7553681,46645070,16.2
2017,5534486,750206,429606,790490,7504764,46497393,16.1
2016,5490505,745642,429634,789909,7455671,46418884,16.1
2015,5465053,743562,430991,791064,7430638,46425722,16.0
2014,5463459,746451,432146,796013,7438060,46495744,16.0
2013,5492810,749954,436116,802294,7481158,46712650,16.0
2012,5519370,751279,438075,806674,7515398,46818216,16.1
2011,5508232,749509,439134,804978,7501853,46667175,16.1
2010,5481511,744485,435836,800212,7462044,46486621,16.1
